Date,Open,High,Low,Close,Adj Close,Volume
2009-12-21,38.570000,39.369999,38.490002,39.279999,39.279999,454500
2009-12-28,39.290001,39.799999,38.360001,38.360001,38.360001,440000
2010-01-04,38.700001,40.380001,38.619999,40.299999,40.299999,703400
2010-01-11,40.380001,42.869999,40.060001,41.470001,41.470001,758700
2010-01-18,41.410000,42.400002,39.200001,39.450001,39.450001,765300
2010-01-25,39.560001,40.009998,37.259998,37.259998,37.259998,1145300
2010-02-01,37.310001,38.110001,35.639999,36.439999,36.439999,1113700
2010-02-08,36.299999,37.500000,35.849998,37.480000,37.480000,1033300
2010-02-15,37.910000,38.849998,37.330002,38.439999,38.439999,575600
2010-02-22,38.459999,38.730000,37.209999,37.669998,37.669998,619700
2010-03-01,37.880001,41.130001,37.529999,40.860001,40.860001,883700
2010-03-08,40.790001,41.700001,40.500000,41.389999,41.389999,885700
2010-03-15,41.200001,42.330002,41.160000,41.919998,41.919998,618100
2010-03-22,41.669998,42.439999,41.000000,41.259998,41.259998,740300
2010-03-29,41.490002,42.049999,40.660000,41.070000,41.070000,520900
2010-04-05,41.169998,41.669998,40.080002,40.970001,40.970001,588300
2010-04-12,40.970001,42.139999,40.900002,42.029999,42.029999,695000
2010-04-19,41.810001,43.900002,41.750000,43.880001,43.880001,527400
2010-04-26,43.950001,44.470001,42.400002,43.599998,43.599998,673200
2010-05-03,43.959999,44.570000,39.000000,39.770000,39.770000,933100
2010-05-10,41.009998,43.810001,41.009998,42.310001,42.310001,1032800
2010-05-17,42.490002,43.310001,38.400002,39.459999,39.459999,1155500
2010-05-24,39.459999,39.970001,37.169998,39.310001,39.310001,886900
2010-05-31,38.970001,40.279999,38.029999,38.770000,38.770000,988400
2010-06-07,38.950001,39.169998,36.189999,37.810001,37.810001,1062800
2010-06-14,38.139999,39.820000,37.810001,39.410000,39.410000,1090600
2010-06-21,40.060001,40.959999,39.360001,40.340000,40.340000,1439100
2010-06-28,40.419998,40.770000,37.279999,37.490002,37.490002,1436300
2010-07-05,38.279999,39.650002,36.080002,39.529999,39.529999,1289400
2010-07-12,39.330002,39.669998,38.299999,38.439999,38.439999,1261200
2010-07-19,38.490002,41.340000,37.439999,41.209999,41.209999,934900
2010-07-26,41.480000,43.000000,40.790001,41.029999,41.029999,736300
2010-08-02,41.990002,42.790001,40.180000,41.270000,41.270000,792900
2010-08-09,41.650002,41.919998,38.259998,38.419998,38.419998,681000
2010-08-16,38.330002,39.810001,37.119999,37.459999,37.459999,640900
2010-08-23,37.639999,37.820000,35.340000,37.380001,37.380001,786300
2010-08-30,37.189999,38.590000,35.759998,38.500000,38.500000,693200
2010-09-06,38.290001,38.330002,36.939999,37.980000,37.980000,353500
2010-09-13,38.330002,38.930000,36.799999,38.230000,38.230000,674700
2010-09-20,38.230000,39.930000,37.790001,39.279999,39.279999,645100
2010-09-27,39.250000,40.369999,38.299999,40.139999,40.139999,858600
2010-10-04,39.959999,41.400002,38.830002,40.750000,40.750000,653000
2010-10-11,40.730000,42.369999,40.259998,41.180000,41.180000,478000
2010-10-18,41.310001,42.619999,40.840000,41.980000,41.980000,496200
2010-10-25,42.320000,42.500000,40.799999,41.570000,41.570000,615100
2010-11-01,41.869999,43.439999,40.799999,42.970001,42.970001,765700
2010-11-08,42.770000,42.869999,40.380001,40.380001,40.380001,503800
2010-11-15,40.619999,40.860001,38.939999,40.500000,40.500000,553500
2010-11-22,40.299999,41.110001,39.430000,40.889999,40.889999,283600
